BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE
CETS,2013-04-15,CNYRUB_TOM,CNYRUB_TOM,5.058,5.0567,5.0795,5.06,14,5.062
CETS,2013-04-16,CNYRUB_TOM,CNYRUB_TOM,5.083,5.079,5.086,5.085,8,5.0823
CETS,2013-04-17,CNYRUB_TOM,CNYRUB_TOM,5.06,5.0505,5.09,5.09,5,5.0652
CETS,2013-04-19,CNYRUB_TOM,CNYRUB_TOM,5.1,5.099,5.1027,5.1027,4,5.1002
CETS,2013-04-23,CNYRUB_TOM,CNYRUB_TOM,5.122,5.12,5.13,5.13,4,5.1246
CETS,2013-04-24,CNYRUB_TOM,CNYRUB_TOM,5.12,5.115,5.12,5.115,4,5.1177
CETS,2013-04-25,CNYRUB_TOM,CNYRUB_TOM,5.078,5.078,5.078,5.078,2,5.078
CETS,2013-04-29,CNYRUB_TOM,CNYRUB_TOM,5.0576,5.0576,5.0576,5.0576,1,5.0576
CETS,2013-04-30,CNYRUB_TOM,CNYRUB_TOM,5.045,5.045,5.045,5.045,1,5.045
CETS,2013-05-06,CNYRUB_TOM,CNYRUB_TOM,5.039,5.036,5.0397,5.0397,4,5.0378
CETS,2013-05-07,CNYRUB_TOM,CNYRUB_TOM,5.038,5.038,5.0516,5.0516,2,5.0493
CETS,2013-05-08,CNYRUB_TOM,CNYRUB_TOM,5.057,5.057,5.0665,5.0665,2,5.0646
CETS,2013-05-13,CNYRUB_TOM,CNYRUB_TOM,5.109,5.093,5.109,5.093,4,5.109
CETS,2013-05-14,CNYRUB_TOM,CNYRUB_TOM,5.096,5.096,5.096,5.096,1,5.096
CETS,2013-05-15,CNYRUB_TOM,CNYRUB_TOM,5.12,5.12,5.131,5.131,2,5.1208
CETS,2013-05-16,CNYRUB_TOM,CNYRUB_TOM,5.1065,5.105,5.11,5.11,3,5.1072
CETS,2013-05-17,CNYRUB_TOM,CNYRUB_TOM,5.1145,5.1145,5.1145,5.1145,1,5.1145
CETS,2013-05-22,CNYRUB_TOM,CNYRUB_TOM,5.0935,5.09,5.0935,5.09,2,5.092
CETS,2013-05-27,CNYRUB_TOM,CNYRUB_TOM,5.121,5.121,5.121,5.121,1,5.121
CETS,2013-05-28,CNYRUB_TOM,CNYRUB_TOM,5.13,5.13,5.13,5.13,1,5.13
CETS,2013-05-29,CNYRUB_TOM,CNYRUB_TOM,5.1365,5.1365,5.145,5.145,2,5.1416
CETS,2013-05-31,CNYRUB_TOM,CNYRUB_TOM,5.1635,5.1635,5.197,5.197,7,5.1691
CETS,2013-06-03,CNYRUB_TOM,CNYRUB_TOM,5.2349,5.215,5.2399,5.215,12,5.2275
CETS,2013-06-04,CNYRUB_TOM,CNYRUB_TOM,5.1975,5.1915,5.217,5.217,6,5.1959
CETS,2013-06-05,CNYRUB_TOM,CNYRUB_TOM,5.2056,5.2056,5.247,5.2465,12,5.225
CETS,2013-06-06,CNYRUB_TOM,CNYRUB_TOM,5.2462,5.2345,5.2462,5.2345,5,5.2395
CETS,2013-06-07,CNYRUB_TOM,CNYRUB_TOM,5.242,5.242,5.275,5.275,5,5.2542
CETS,2013-06-10,CNYRUB_TOM,CNYRUB_TOM,5.241,5.241,5.264,5.264,7,5.2541
CETS,2013-06-11,CNYRUB_TOM,CNYRUB_TOM,5.271,5.2695,5.2739,5.2739,3,5.2698
CETS,2013-06-13,CNYRUB_TOM,CNYRUB_TOM,5.26,5.24,5.2687,5.24,10,5.2642
CETS,2013-06-14,CNYRUB_TOM,CNYRUB_TOM,5.172,5.172,5.194,5.194,6,5.1858
CETS,2013-06-17,CNYRUB_TOM,CNYRUB_TOM,5.16,5.16,5.1695,5.1695,4,5.1613
CETS,2013-06-18,CNYRUB_TOM,CNYRUB_TOM,5.2054,5.192,5.23,5.23,10,5.2048
CETS,2013-06-19,CNYRUB_TOM,CNYRUB_TOM,5.222,5.216,5.252,5.252,9,5.2382
CETS,2013-06-20,CNYRUB_TOM,CNYRUB_TOM,5.335,5.333,5.355,5.346,16,5.346
CETS,2013-06-21,CNYRUB_TOM,CNYRUB_TOM,5.33,5.33,5.3575,5.35,10,5.3482
CETS,2013-06-24,CNYRUB_TOM,CNYRUB_TOM,5.3585,5.3585,5.3602,5.3602,2,5.3586
CETS,2013-06-25,CNYRUB_TOM,CNYRUB_TOM,5.3259,5.3259,5.35,5.35,6,5.3372
CETS,2013-06-26,CNYRUB_TOM,CNYRUB_TOM,5.341,5.341,5.353,5.353,3,5.3457
CETS,2014-01-09,CNYRUB_TOM,CNYRUB_TOM,5.475,5.4375,5.4877,5.482,13,5.4768
CETS,2014-01-10,CNYRUB_TOM,CNYRUB_TOM,5.495,5.483,5.515,5.483,6,5.4995
CETS,2014-01-13,CNYRUB_TOM,CNYRUB_TOM,5.497,5.485,5.497,5.496,3,5.4911
CETS,2014-01-14,CNYRUB_TOM,CNYRUB_TOM,5.51,5.51,5.51,5.51,2,5.51
CETS,2014-01-15,CNYRUB_TOM,CNYRUB_TOM,5.5388,5.527,5.5499,5.544,60,5.5359
CETS,2014-01-16,CNYRUB_TOM,CNYRUB_TOM,5.5291,5.5291,5.554,5.5494,19,5.5364
CETS,2014-01-17,CNYRUB_TOM,CNYRUB_TOM,5.545,5.5378,5.547,5.54,15,5.5436
CETS,2014-01-20,CNYRUB_TOM,CNYRUB_TOM,5.5765,5.5765,5.592,5.592,10,5.5833
CETS,2014-01-21,CNYRUB_TOM,CNYRUB_TOM,5.6151,5.6027,5.7225,5.64,28,5.6121
CETS,2014-01-22,CNYRUB_TOM,CNYRUB_TOM,5.6128,5.608,5.6275,5.6225,23,5.6119
CETS,2014-01-23,CNYRUB_TOM,CNYRUB_TOM,5.63,5.6296,5.65,5.6464,23,5.6358
