date,open,low,high,close,num_trades,wap
2013-10-21,1351.35,1350.75,1351.35,1350.75,2,1351.05
2013-10-23,1365.1,1365.1,1365.1,1365.1,1,1365.1
2013-11-18,1343.5,1343.5,1343.5,1343.5,1,1343.5
2013-11-26,1320.0,1320.0,1320.0,1320.0,1,1320.0
2013-12-04,1296.3,1296.3,1296.3,1296.3,1,1296.3
2013-12-05,1299.0,1299.0,1299.0,1299.0,1,1299.0
2013-12-12,1312.0,1311.0,1312.0,1311.0,2,1311.5
2013-12-17,1308.99,1308.45,1308.99,1308.45,2,1308.72
2013-12-18,1307.71,1303.1,1310.24,1303.1,8,1310.19
2013-12-19,1296.68,1285.51,1297.06,1285.51,5,1290.84
2013-12-20,1264.0,1264.0,1274.0,1274.0,2,1269.0
2013-12-23,1273.0,1273.0,1273.0,1273.0,1,1273.0
2013-12-24,1256.0,1256.0,1256.0,1256.0,1,1256.0
2014-01-09,1305.0,1305.0,1310.0,1310.0,2,1307.5
2014-01-10,1317.0,1317.0,1317.0,1317.0,1,1317.0
2014-01-13,1335.0,1330.0,1335.0,1330.0,2,1332.5
2014-01-14,1342.0,1342.0,1342.0,1342.0,1,1342.0
2014-01-15,1333.0,1330.5,1333.0,1330.5,2,1331.75
2014-01-16,1332.0,1332.0,1332.0,1332.0,2,1332.0
2014-01-17,1337.0,1337.0,1337.0,1337.0,1,1337.0
2014-01-21,1363.12,1363.12,1363.12,1363.12,1,1363.12
2014-01-22,1351.7,1351.7,1351.7,1351.7,1,1351.7
2014-01-30,1435.0,1430.0,1435.0,1430.0,2,1432.5
2014-01-31,1408.0,1408.0,1408.0,1408.0,1,1408.0
2014-02-04,1440.0,1440.0,1440.0,1440.0,1,1440.0
2014-02-06,1407.13,1407.13,1413.5,1411.0,4,1409.56
2014-02-07,1406.83,1406.83,1406.83,1406.83,1,1406.83
2014-02-10,1421.2,1421.2,1421.2,1421.2,1,1421.2
2014-02-11,1433.5,1433.5,1433.5,1433.5,1,1433.5
2014-02-12,1455.0,1455.0,1455.0,1455.0,1,1455.0
2014-02-13,1455.0,1455.0,1460.0,1460.0,2,1458.75
2014-02-17,1493.0,1493.0,1500.75,1500.75,5,1494.7
2014-02-18,1495.0,1494.0,1495.0,1494.0,2,1494.51
2014-02-19,1509.0,1509.0,1511.0,1511.0,2,1510.33
2014-02-20,1514.75,1511.25,1516.5,1516.5,3,1514.86
2014-02-21,1523.0,1523.0,1523.0,1523.0,1,1523.0
2014-02-24,1513.5,1513.5,1523.5,1523.5,2,1522.07
2014-02-25,1531.75,1526.25,1538.0,1538.0,3,1530.56
2014-02-27,1539.5,1539.5,1550.5,1550.0,5,1548.46
2014-02-28,1548.0,1539.5,1548.0,1539.5,2,1542.9
2014-03-03,1579.0,1579.0,1579.0,1579.0,1,1579.0
2014-03-04,1550.0,1550.0,1550.0,1550.0,1,1550.0
2014-03-05,1555.0,1555.0,1557.0,1555.0,3,1555.29
2014-03-06,1553.0,1552.0,1554.0,1552.0,3,1552.5
2014-03-07,1570.0,1560.0,1571.5,1560.0,4,1567.22
2014-03-11,1570.0,1570.0,1570.0,1570.0,1,1570.0
2014-03-12,1593.7,1593.7,1603.5,1601.0,15,1597.51
2014-03-13,1607.5,1600.1,1614.25,1614.25,7,1607.89
2014-03-14,1619.75,1615.5,1628.0,1621.0,5,1620.39
2014-03-17,1628.25,1610.0,1628.25,1610.0,4,1623.39
2014-03-18,1594.0,1590.0,1602.5,1590.0,3,1597.98
2014-03-19,1565.0,1550.5,1565.0,1550.5,3,1560.04
2014-03-20,1545.0,1545.0,1546.0,1546.0,2,1545.5
2014-03-21,1559.0,1559.0,1568.75,1562.25,5,1563.32
2014-03-24,1537.75,1537.75,1538.5,1538.5,2,1537.76
2014-03-25,1515.25,1515.25,1516.0,1516.0,2,1515.63
2014-03-26,1499.0,1481.5,1500.25,1482.5,10,1497.91
2014-03-27,1493.0,1477.0,1493.0,1477.0,2,1491.55
2014-03-28,1488.0,1478.75,1488.0,1478.75,2,1479.46
2014-03-31,1479.0,1473.0,1479.0,1473.0,2,1476.0
2014-04-01,1448.75,1448.75,1448.75,1448.75,1,1448.75
2014-04-02,1450.0,1450.0,1460.0,1460.0,4,1454.0
2014-04-03,1478.75,1478.0,1478.75,1478.5,3,1478.44
2014-04-04,1470.25,1470.25,1470.25,1470.25,1,1470.25
2014-04-07,1484.03,1484.03,1494.5,1494.5,4,1488.26
2014-04-08,1494.0,1492.0,1502.9,1502.9,14,1496.25
2014-04-09,1503.0,1495.75,1508.9,1495.75,5,1506.41
2014-04-10,1507.0,1505.0,1510.7,1509.95,10,1509.35
2014-04-11,1516.0,1508.0,1518.0,1509.0,5,1513.98
2014-04-14,1524.75,1522.5,1535.0,1535.0,3,1533.39
2014-04-15,1520.5,1494.0,1520.5,1494.0,7,1515.32
2014-04-16,1515.0,1505.5,1515.0,1505.5,3,1507.14
2014-04-17,1500.0,1500.0,1503.0,1501.75,3,1502.06
2014-04-21,1475.0,1475.0,1476.5,1476.5,4,1475.08
2014-04-22,1483.0,1465.5,1486.0,1468.5,10,1477.39
2014-04-23,1473.5,1473.5,1477.0,1477.0,2,1476.88
2014-04-24,1472.96,1458.25,1485.0,1485.0,5,1465.09
2014-04-25,1488.75,1488.75,1495.0,1495.0,2,1488.78
2014-04-28,1492.0,1492.0,1492.0,1492.0,1,1492.0
2014-04-29,1484.0,1484.0,1484.0,1484.0,1,1484.0
2014-04-30,1485.0,1485.0,1485.0,1485.0,1,1485.0
2014-05-05,1512.0,1512.0,1512.0,1512.0,1,1512.0
2014-05-06,1489.01,1489.01,1490.0,1490.0,2,1489.27
2014-05-08,1441.5,1441.5,1441.5,1441.5,1,1441.5
2014-05-12,1457.75,1457.75,1457.75,1457.75,1,1457.75
2014-05-13,1452.5,1452.5,1452.5,1452.5,1,1452.5
2014-05-14,1454.25,1454.25,1454.25,1454.25,1,1454.25
2014-05-16,1443.75,1443.75,1443.75,1443.75,1,1443.75
2014-05-19,1449.0,1444.5,1449.0,1444.5,2,1446.0
2014-05-20,1435.44,1433.0,1435.44,1433.0,2,1434.22
2014-05-21,1437.25,1437.25,1437.25,1437.25,1,1437.25
2014-05-22,1432.77,1432.77,1432.77,1432.77,1,1432.77
2014-05-23,1425.01,1423.31,1425.01,1423.31,4,1425.0
2014-05-26,1418.24,1418.24,1418.24,1418.24,1,1418.24
2014-05-28,1400.0,1400.0,1404.0,1404.0,3,1402.94
2014-05-29,1395.5,1391.0,1399.0,1399.0,7,1394.77
