Date,Ticker,ShortName,Name,Open,High,Low,Close,Currency
2016-12-28,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159646.69,159646.69,159646.69,159646.69,RUB
2017-01-04,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,158952.36,158952.36,158952.36,158952.36,RUB
2017-01-11,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,158470.18,158470.18,158470.18,158470.18,RUB
2017-01-18,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,157778.75,157778.75,157778.75,157778.75,RUB
2017-01-25,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,157832.09,157832.09,157832.09,157832.09,RUB
2017-02-01,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159664.11,159664.11,159664.11,159664.11,RUB
2017-02-08,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159020.3,159020.3,159020.3,159020.3,RUB
2017-02-15,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159135.45,159135.45,159135.45,159135.45,RUB
2017-02-22,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,160328.31,160328.31,160328.31,160328.31,RUB
2017-03-01,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159480.39,159480.39,159480.39,159480.39,RUB
2017-03-08,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,160969.3,160969.3,160969.3,160969.3,RUB
2017-03-15,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,161290.53,161290.53,161290.53,161290.53,RUB
2017-03-22,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,160626.76,160626.76,160626.76,160626.76,RUB
2017-03-29,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159647.91,159647.91,159647.91,159647.91,RUB
2017-04-05,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159775.14,159775.14,159775.14,159775.14,RUB
2017-04-12,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,158288.8,158288.8,158288.8,158288.8,RUB
2017-04-19,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,158677.63,158677.63,158677.63,158677.63,RUB
2017-04-26,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,159314.81,159314.81,159314.81,159314.81,RUB
2017-05-03,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,158496.88,158496.88,158496.88,158496.88,RUB
2017-05-10,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,158571.02,158571.02,158571.02,158571.02,RUB
2017-05-17,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,157885.33,157885.33,157885.33,157885.33,RUB
2017-05-24,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,157767.2,157767.2,157767.2,157767.2,RUB
2017-05-31,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,156256.45,156256.45,156256.45,156256.45,RUB
2017-06-07,MREDC,Индекс недвиж-ти Домклик Москва,Индекс московской недвижимости Домклик,156792.59,156792.59,156792.59,156792.59,RUB
