

Date,Rate
03.07.2026,14.25
19.06.2026,14.50
24.04.2026,15.00
20.03.2026,15.50
13.02.2026,16.00
19.12.2025,16.50
24.10.2025,17.00
12.09.2025,18.00
25.07.2025,20.00
06.06.2025,21.00
25.10.2024,19.00
13.09.2024,18.00
26.07.2024,16.00
15.12.2023,15.00
27.10.2023,13.00
15.09.2023,12.00
14.08.2023,8.50
21.07.2023,7.50
16.09.2022,8.00
22.07.2022,9.50
14.06.2022,11.00
26.05.2022,14.00
29.04.2022,17.00
08.04.2022,20.00
25.02.2022,9.50
11.02.2022,8.50
17.12.2021,7.50
22.10.2021,6.75
10.09.2021,6.50
23.07.2021,5.50
14.06.2021,5.00
23.04.2021,4.50
19.03.2021,4.25
24.07.2020,4.50
19.06.2020,5.50
24.04.2020,6.00
07.02.2020,6.25
13.12.2019,6.50
25.10.2019,7.00
06.09.2019,7.25
26.07.2019,7.50
14.06.2019,7.75
14.12.2018,7.50
14.09.2018,7.25
23.03.2018,7.50
09.02.2018,7.75
15.12.2017,8.25
27.10.2017,8.50
15.09.2017,9.00
16.06.2017,9.25
28.04.2017,9.75
24.03.2017,10.00
16.09.2016,10.50
10.06.2016,11.00
15.06.2015,12.50
16.06.2015,11.50
01.05.2015,14.00
13.03.2015,15.00
30.01.2015,17.00
15.12.2014,10.50
12.12.2014,9.50
31.10.2014,8.00
25.07.2014,7.50
25.04.2014,7.00
28.02.2014,5.50
17.09.2013,5.50
