BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,RGBITR,2002-12-30,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,100.0,100.0,100.0,100.0,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-04,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,100.34,100.34,100.34,100.34,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-05,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.09,101.09,101.09,101.09,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-08,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.35,101.35,101.35,101.35,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-09,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.41,101.41,101.41,101.41,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-10,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.57,101.57,101.57,101.57,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-13,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.77,101.77,101.77,101.77,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-14,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.81,101.81,101.81,101.81,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-15,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.82,101.82,101.82,101.82,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-16,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.82,101.82,101.82,101.82,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-17,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,101.99,101.99,101.99,101.99,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-20,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.06,102.06,102.06,102.06,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-21,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.03,102.03,102.03,102.03,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-22,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.19,102.19,102.19,102.19,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-23,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.36,102.36,102.36,102.36,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-24,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.49,102.49,102.49,102.49,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-27,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.55,102.55,102.55,102.55,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-28,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.67,102.67,102.67,102.67,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-29,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.67,102.67,102.67,102.67,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-30,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,102.77,102.77,102.77,102.77,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-01-31,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,103.06,103.06,103.06,103.06,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-03,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,103.18,103.18,103.18,103.18,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-04,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,103.29,103.29,103.29,103.29,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-05,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,104.1,104.1,104.1,104.1,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-06,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,104.65,104.65,104.65,104.65,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-07,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,105.64,105.64,105.64,105.64,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-10,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,106.26,106.26,106.26,106.26,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-11,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,106.42,106.42,106.42,106.42,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-12,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,106.99,106.99,106.99,106.99,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-13,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,108.05,108.05,108.05,108.05,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-14,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,108.54,108.54,108.54,108.54,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-17,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,109.84,109.84,109.84,109.84,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-18,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,110.68,110.68,110.68,110.68,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-19,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,110.99,110.99,110.99,110.99,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-20,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,111.01,111.01,111.01,111.01,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-21,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,111.25,111.25,111.25,111.25,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-25,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,111.61,111.61,111.61,111.61,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-26,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,111.61,111.61,111.61,111.61,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-27,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,111.75,111.75,111.75,111.75,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-02-28,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,111.99,111.99,111.99,111.99,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-03-03,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,112.19,112.19,112.19,112.19,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-03-04,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,111.95,111.95,111.95,111.95,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-03-05,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,112.44,112.44,112.44,112.44,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-03-06,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,112.78,112.78,112.78,112.78,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-03-07,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,112.97,112.97,112.97,112.97,,,,2,,RUB,,3,,,
SNDX,RGBITR,2003-03-11,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,113.47,113.47,113.47,113.47,,,,2,,RUB,,3,,,
