BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
RTSI,RUCBTRNS,2018-12-29,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.0,100.0,100.0,100.0,,,,2,,RUB,,3,,2018-12-29,
RTSI,RUCBTRNS,2019-01-03,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.32,100.32,100.32,100.32,,,,2,,RUB,,3,,2019-01-03,
RTSI,RUCBTRNS,2019-01-04,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.51,100.51,100.51,100.51,,,,2,,RUB,,3,,2019-01-04,
RTSI,RUCBTRNS,2019-01-08,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.46,100.46,100.46,100.46,,,,2,,RUB,,3,,2019-01-08,
RTSI,RUCBTRNS,2019-01-09,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.49,100.49,100.49,100.49,,,,2,,RUB,,3,,2019-01-09,
RTSI,RUCBTRNS,2019-01-10,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.63,100.63,100.63,100.63,,,,2,,RUB,,3,,2019-01-10,
RTSI,RUCBTRNS,2019-01-11,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.82,100.82,100.82,100.82,,,,2,,RUB,,3,,2019-01-11,
RTSI,RUCBTRNS,2019-01-14,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.87,100.87,100.87,100.87,,,,2,,RUB,,3,,2019-01-14,
RTSI,RUCBTRNS,2019-01-15,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.88,100.88,100.88,100.88,,,,2,,RUB,,3,,2019-01-15,
RTSI,RUCBTRNS,2019-01-16,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.98,100.98,100.98,100.98,,,,2,,RUB,,3,,2019-01-16,
RTSI,RUCBTRNS,2019-01-17,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.99,100.99,100.99,100.99,,,,2,,RUB,,3,,2019-01-17,
RTSI,RUCBTRNS,2019-01-18,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,100.98,100.98,100.98,100.98,,,,2,,RUB,,3,,2019-01-18,
RTSI,RUCBTRNS,2019-01-21,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.08,101.08,101.08,101.08,,,,2,,RUB,,3,,2019-01-21,
RTSI,RUCBTRNS,2019-01-22,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.1,101.1,101.1,101.1,,,,2,,RUB,,3,,2019-01-22,
RTSI,RUCBTRNS,2019-01-23,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.18,101.18,101.18,101.18,,,,2,,RUB,,3,,2019-01-23,
RTSI,RUCBTRNS,2019-01-24,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.11,101.11,101.11,101.11,,,,2,,RUB,,3,,2019-01-24,
RTSI,RUCBTRNS,2019-01-25,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.24,101.24,101.24,101.24,,,,2,,RUB,,3,,2019-01-25,
RTSI,RUCBTRNS,2019-01-28,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.31,101.31,101.31,101.31,,,,2,,RUB,,3,,2019-01-28,
RTSI,RUCBTRNS,2019-01-29,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.23,101.23,101.23,101.23,,,,2,,RUB,,3,,2019-01-29,
RTSI,RUCBTRNS,2019-01-30,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.38,101.38,101.38,101.38,,,,2,,RUB,,3,,2019-01-30,
RTSI,RUCBTRNS,2019-01-31,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.38,101.38,101.38,101.38,,,,2,,RUB,,3,,2019-01-31,
RTSI,RUCBTRNS,2019-02-01,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.39,101.39,101.39,101.39,,,,2,,RUB,,3,,2019-02-01,
RTSI,RUCBTRNS,2019-02-04,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.5,101.5,101.5,101.5,,,,2,,RUB,,3,,2019-02-04,
RTSI,RUCBTRNS,2019-02-05,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.52,101.52,101.52,101.52,,,,2,,RUB,,3,,2019-02-05,
RTSI,RUCBTRNS,2019-02-06,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.61,101.61,101.61,101.61,,,,2,,RUB,,3,,2019-02-06,
RTSI,RUCBTRNS,2019-02-07,RUCBTRNS,Индекс МосБиржи Корпоративных Облигаций RUCBTRNS,101.6,101.6,101.6,101.6,,,,2,,RUB,,3,,2019-02-07,
