Date,Open_USD_RUB,High_USD_RUB,Low_USD_RUB,Close_USD_RUB,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2019-06-30,62.9558982849,63.2000007629,62.7808990479,62.9583015442,0,0.0,0.0,RUB=X,,,RUB
2019-07-01,62.8959999084,63.3639984131,62.8940010071,62.9084014893,0,0.0,0.0,RUB=X,,,RUB
2019-07-02,63.2711982727,63.643699646,63.270401001,63.2706985474,0,0.0,0.0,RUB=X,,,RUB
2019-07-03,63.2765007019,63.5060005188,63.226600647,63.2808990479,0,0.0,0.0,RUB=X,,,RUB
2019-07-04,63.4440994263,63.8400001526,63.40599823,63.4317016602,0,0.0,0.0,RUB=X,,,RUB
2019-07-07,63.7220993042,63.9550018311,63.4846000671,63.7270011902,0,0.0,0.0,RUB=X,,,RUB
2019-07-08,63.6612014771,63.8839988708,63.6269989014,63.6540985107,0,0.0,0.0,RUB=X,,,RUB
2019-07-09,63.8130989075,63.8689994812,63.1146011353,63.8132019043,0,0.0,0.0,RUB=X,,,RUB
2019-07-10,63.1160011292,63.128200531,62.7797012329,63.1160011292,0,0.0,0.0,RUB=X,,,RUB
2019-07-11,62.7944984436,63.1790008545,62.7910995483,62.7957000732,0,0.0,0.0,RUB=X,,,RUB
2019-07-14,63.1105003357,63.1310997009,62.5425987244,63.1101989746,0,0.0,0.0,RUB=X,,,RUB
2019-07-15,62.6417007446,62.8619995117,62.5563011169,62.6464004517,0,0.0,0.0,RUB=X,,,RUB
2019-07-16,62.9641990662,63.0195999146,62.7319984436,62.9637985229,0,0.0,0.0,RUB=X,,,RUB
2019-07-17,62.898399353,63.117099762,62.7150001526,62.9021987915,0,0.0,0.0,RUB=X,,,RUB
2019-07-18,62.8600997925,63.0429992676,62.6990013123,62.8540992737,0,0.0,0.0,RUB=X,,,RUB
2019-07-21,62.9724006653,63.0540008545,62.9129981995,62.9762001038,0,0.0,0.0,RUB=X,,,RUB
2019-07-22,62.9906997681,63.3100013733,62.9851989746,63.0010986328,0,0.0,0.0,RUB=X,,,RUB
2019-07-23,63.1651000977,63.1936988831,62.9824981689,63.1651000977,0,0.0,0.0,RUB=X,,,RUB
2019-07-24,63.2452011108,63.2779998779,62.8670005798,63.245098114,0,0.0,0.0,RUB=X,,,RUB
2019-07-25,63.1281013489,63.4550018311,63.0569992065,63.1512985229,0,0.0,0.0,RUB=X,,,RUB
2019-07-28,63.1525993347,63.6040000916,63.1509017944,63.1766014099,0,0.0,0.0,RUB=X,,,RUB
2019-07-29,63.4155006409,63.6911010742,63.2163009644,63.4141998291,0,0.0,0.0,RUB=X,,,RUB
2019-07-30,63.4907989502,63.533000946,63.3409996033,63.4907989502,0,0.0,0.0,RUB=X,,,RUB
2019-07-31,63.5215988159,64.1330032349,63.448299408,63.5646018982,0,0.0,0.0,RUB=X,,,RUB
2019-08-01,64.3050994873,65.3840026855,64.2818984985,64.2998962402,0,0.0,0.0,RUB=X,,,RUB
