date,year,month,period,indicator,value,unit
1997-01-01,1997,1,115 январь,Безналичные средства,184.5,386 миллиард рублей
1997-02-01,1997,2,114 февраль,Безналичные средства,193.5,386 миллиард рублей
1997-03-01,1997,3,68 март,Безналичные средства,197.4,386 миллиард рублей
1997-04-01,1997,4,61 апрель,Безналичные средства,200.6,386 миллиард рублей
1997-05-01,1997,5,67 май,Безналичные средства,202.6,386 миллиард рублей
1997-06-01,1997,6,66 июнь,Безналичные средства,208.0,386 миллиард рублей
1997-07-01,1997,7,65 июль,Безналичные средства,215.1,386 миллиард рублей
1997-08-01,1997,8,60 август,Безналичные средства,222.6,386 миллиард рублей
1997-09-01,1997,9,108 сентябрь,Безналичные средства,223.0,386 миллиард рублей
1997-10-01,1997,10,105 октябрь,Безналичные средства,228.1,386 миллиард рублей
1997-11-01,1997,11,104 ноябрь,Безналичные средства,233.0,386 миллиард рублей
1997-12-01,1997,12,62 декабрь,Безналичные средства,228.6,386 миллиард рублей
1998-01-01,1998,1,115 январь,Безналичные средства,248.3,386 миллиард рублей
1998-02-01,1998,2,114 февраль,Безналичные средства,246.6,386 миллиард рублей
1998-03-01,1998,3,68 март,Безналичные средства,245.7,386 миллиард рублей
1998-04-01,1998,4,61 апрель,Безналичные средства,244.1,386 миллиард рублей
1998-05-01,1998,5,67 май,Безналичные средства,246.0,386 миллиард рублей
1998-06-01,1998,6,66 июнь,Безналичные средства,244.9,386 миллиард рублей
1998-07-01,1998,7,65 июль,Безналичные средства,236.4,386 миллиард рублей
1998-08-01,1998,8,60 август,Безналичные средства,217.3,386 миллиард рублей
1998-09-01,1998,9,108 сентябрь,Безналичные средства,220.0,386 миллиард рублей
1998-10-01,1998,10,105 октябрь,Безналичные средства,220.7,386 миллиард рублей
1998-11-01,1998,11,104 ноябрь,Безналичные средства,240.4,386 миллиард рублей
1998-12-01,1998,12,62 декабрь,Безналичные средства,266.0,386 миллиард рублей
1999-01-01,1999,1,115 январь,Безналичные средства,272.8,386 миллиард рублей
1999-02-01,1999,2,114 февраль,Безналичные средства,290.7,386 миллиард рублей
1999-03-01,1999,3,68 март,Безналичные средства,308.2,386 миллиард рублей
1999-04-01,1999,4,61 апрель,Безналичные средства,323.8,386 миллиард рублей
1999-05-01,1999,5,67 май,Безналичные средства,348.6,386 миллиард рублей
1999-06-01,1999,6,66 июнь,Безналичные средства,365.3,386 миллиард рублей
